id,tot_claim_cnt_l180d,disb_bank_loan_wo_tbc,day_sinlastloan
2925210.0,-3,-3.0,-3
2925211.0,57,-3.0,427
2925212.0,-3,-3.0,-3
2925213.0,57,-3.0,427
2925214.0,-3,-3.0,-3
2925215.0,57,-3.0,427
2925216.0,57,-3.0,427
2925217.0,-3,-3.0,-3
2925218.0,13,-3.0,288
2925219.0,-3,-3.0,-3
2925220.0,13,-3.0,288
2925221.0,-3,-3.0,-3
2925222.0,13,-3.0,288
2925223.0,-3,-3.0,-3
2925224.0,13,-3.0,288
2925225.0,-3,-3.0,-3
2925226.0,-3,-3.0,-3
2925227.0,13,-3.0,288
2925228.0,13,-3.0,288
2925229.0,-3,-3.0,-3
2925230.0,-3,-3.0,-3
2925231.0,12,2537851751.0,170
2925232.0,12,2537851751.0,170
2925233.0,-3,-3.0,-3
2925234.0,3,-3.0,-3
2925235.0,-3,-3.0,-3
2925236.0,3,-3.0,-3
2925237.0,-3,-3.0,-3
2925238.0,3,-3.0,-3
2925239.0,-3,-3.0,-3
2925240.0,3,-3.0,-3
2925241.0,-3,-3.0,-3
2925242.0,-3,-3.0,-3
2925243.0,20,559300000.0,158
2925244.0,20,559300000.0,158
2925245.0,-3,-3.0,-3
2925246.0,3,-3.0,-3
2925247.0,3,-3.0,-3
2925248.0,-3,-3.0,-3
2925249.0,-3,-3.0,-3
2925250.0,55,2176827289.0,38
2925251.0,-3,-3.0,-3
2925252.0,55,2176827289.0,38
2925253.0,-3,-3.0,-3
2925254.0,55,2176827289.0,38
2925255.0,-3,-3.0,-3
2925256.0,55,2176827289.0,38
2925257.0,1,-3.0,-3
2925258.0,-3,-3.0,-3
2925259.0,1,-3.0,-3
2925260.0,-3,-3.0,-3
2925261.0,1,-3.0,-3
2925262.0,1,-3.0,-3
2925263.0,-3,-3.0,-3
2925264.0,-3,-3.0,-3
2925265.0,-3,-3.0,-3
2925266.0,-3,-3.0,-3
2925267.0,-3,-3.0,-3
2925268.0,-3,-3.0,-3
2925269.0,-3,-3.0,-3
2925270.0,-3,-3.0,-3
2925271.0,-3,-3.0,-3
2925272.0,-3,-3.0,-3
2925273.0,-3,-3.0,-3
2925274.0,-3,-3.0,-3
2925275.0,-3,-3.0,-3
2925276.0,5,9905106700.0,69
2925277.0,5,9905106700.0,69
2925278.0,-3,-3.0,-3
2925279.0,15,1421662913.0,15
2925280.0,-3,-3.0,-3
2925281.0,15,1421662913.0,15
2925282.0,-3,-3.0,-3
2925283.0,15,1421662913.0,15
2925284.0,15,1421662913.0,15
2925285.0,-3,-3.0,-3
2925286.0,1,-3.0,-3
2925287.0,-3,-3.0,-3
2925288.0,1,-3.0,-3
2925289.0,-3,-3.0,-3
2925290.0,-3,-3.0,-3
2925291.0,5,233087600.0,141
2925292.0,-3,-3.0,-3
2925293.0,5,233087600.0,141
2925294.0,-3,-3.0,-3
2925295.0,5,233087600.0,141
2925296.0,-3,-3.0,-3
2925297.0,-3,-3.0,-3
2925298.0,16,300000000.0,19
2925299.0,-3,-3.0,-3
2925300.0,5,233087600.0,141
2925301.0,-3,-3.0,-3
2925302.0,-3,-3.0,-3
2925303.0,-3,-3.0,-3
2925304.0,-3,-3.0,-3
2925305.0,16,300000000.0,19
2925306.0,-3,-3.0,-3
2925307.0,-3,-3.0,-3
2925308.0,-3,-3.0,-3
2925309.0,-3,-3.0,-3
2925310.0,-3,-3.0,-3
2925311.0,2,-3.0,-3
2925312.0,16,300000000.0,19
2925313.0,-3,-3.0,-3
2925314.0,2,-3.0,-3
2925315.0,-3,-3.0,-3
2925316.0,16,300000000.0,19
2925317.0,-3,-3.0,-3
2925318.0,-3,-3.0,-3
2925319.0,2,-3.0,-3
2925320.0,-3,-3.0,-3
2925321.0,-3,-3.0,-3
2925322.0,2,-3.0,-3
2925323.0,-3,-3.0,-3
2925324.0,-3,-3.0,-3
2925325.0,-3,-3.0,-3
2925326.0,2,-3.0,-3
2925327.0,-3,-3.0,-3
2925328.0,-3,-3.0,-3
2925329.0,2,-3.0,-3
2925330.0,-3,-3.0,-3
2925331.0,2,-3.0,-3
2925332.0,2,-3.0,-3
2925333.0,1,-3.0,1730
2925334.0,-3,-3.0,-3
2925335.0,1,-3.0,1730
2925336.0,-3,-3.0,-3
2925337.0,-3,-3.0,-3
2925338.0,-3,-3.0,-3
2925339.0,-3,-3.0,-3
2925340.0,2,-3.0,726
2925341.0,-3,-3.0,-3
2925342.0,-3,-3.0,-3
2925343.0,-3,-3.0,-3
2925344.0,2,-3.0,726
2925345.0,-3,-3.0,-3
2925346.0,-3,-3.0,-3
2925347.0,-3,-3.0,-3
2925348.0,-3,-3.0,-3
2925349.0,-3,-3.0,-3
2925350.0,2,-3.0,726
2925351.0,-3,-3.0,-3
2925352.0,2,-3.0,726
2925353.0,-3,-3.0,-3
2925354.0,-3,-3.0,-3
2925355.0,-3,-3.0,-3
2925356.0,-3,-3.0,-3
2925357.0,-3,-3.0,-3
2925358.0,-3,-3.0,-3
2925359.0,-3,-3.0,-3
2925360.0,7,-3.0,-3
2925361.0,-3,-3.0,-3
2925362.0,7,-3.0,-3
2925363.0,-3,-3.0,-3
2925364.0,7,-3.0,-3
2925365.0,-3,-3.0,-3
2925366.0,7,-3.0,-3
2925367.0,-3,-3.0,-3
2925368.0,-3,-3.0,434
2925369.0,-3,-3.0,-3
2925370.0,-3,-3.0,434
2925371.0,-3,-3.0,-3
2925372.0,-3,-3.0,434
2925373.0,-3,-3.0,-3
2925374.0,-3,-3.0,434
2925375.0,-3,-3.0,-3
2925376.0,-3,-3.0,-3
2925377.0,-3,19384938046.0,209
2925378.0,-3,-3.0,-3
2925379.0,-3,19384938046.0,209
2925380.0,-3,-3.0,-3
2925381.0,-3,-3.0,-3
2925382.0,-3,19384938046.0,209
2925383.0,-3,19384938046.0,209
2925384.0,1,10308484000.0,22
2925385.0,1,10308484000.0,22
2925386.0,-3,-3.0,-3
2925387.0,-3,-3.0,-3
2925388.0,7,3225259367.0,173
2925389.0,-3,-3.0,-3
2925390.0,-3,-3.0,-3
2925391.0,-3,-3.0,-3
2925392.0,7,3225259367.0,173
2925393.0,-3,-3.0,-3
2925394.0,-3,-3.0,-3
2925395.0,-3,-3.0,-3
2925396.0,7,3225259367.0,173
2925397.0,-3,-3.0,-3
2925398.0,7,3225259367.0,173
2925399.0,-3,-3.0,-3
2925400.0,-3,-3.0,-3
2925401.0,-3,-3.0,-3
2925402.0,3,-3.0,993
2925403.0,2,28399988003.0,888
2925404.0,-3,-3.0,-3
2925405.0,-3,-3.0,-3
2925406.0,3,-3.0,993
2925407.0,-3,-3.0,-3
2925408.0,2,28399988003.0,888
2925409.0,-3,-3.0,-3
2925410.0,-3,-3.0,-3
2925411.0,3,-3.0,993
2925412.0,-3,-3.0,-3
2925413.0,2,28399988003.0,888
2925414.0,-3,-3.0,-3
2925415.0,3,-3.0,993
2925416.0,-3,-3.0,-3
2925417.0,2,28399988003.0,888
2925418.0,-3,389592220.0,471
2925419.0,-3,-3.0,-3
2925420.0,-3,389592220.0,471
2925421.0,5,8065950137.0,123
2925422.0,-3,-3.0,-3
2925423.0,-3,389592220.0,471
2925424.0,5,8065950137.0,123
2925425.0,-3,-3.0,-3
2925426.0,-3,389592220.0,471
2925427.0,-3,-3.0,-3
2925428.0,-3,-3.0,-3
2925429.0,6,-3.0,700
2925430.0,6,-3.0,700
2925431.0,-3,-3.0,-3
2925432.0,-3,389592220.0,471
2925433.0,-3,389592220.0,471
2925434.0,-3,-3.0,-3
2925435.0,-3,-3.0,-3
2925436.0,4,700000000.0,6
2925437.0,-3,-3.0,-3
2925438.0,4,700000000.0,6
2925439.0,-3,-3.0,-3
2925440.0,4,700000000.0,6
2925441.0,-3,-3.0,-3
2925442.0,4,700000000.0,6
2925443.0,150,4348396530.0,159
2925444.0,-3,-3.0,-3
2925445.0,1,8150077272.0,281
2925446.0,-3,-3.0,-3
2925447.0,1,8150077272.0,281
2925448.0,-3,-3.0,-3
2925449.0,1,8150077272.0,281
2925450.0,-3,-3.0,-3
2925451.0,1,8150077272.0,281
2925452.0,150,4348396530.0,159
2925453.0,-3,-3.0,-3
2925454.0,-3,-3.0,-3
2925455.0,-3,-3.0,-3
2925456.0,4,1000000000.0,4
2925457.0,-3,-3.0,-3
2925458.0,4,1000000000.0,4
2925459.0,-3,-3.0,-3
2925460.0,4,1000000000.0,4
2925461.0,-3,-3.0,-3
2925462.0,3,-3.0,-3
2925463.0,-3,-3.0,-3
2925464.0,6,307403141.0,125
2925465.0,3,-3.0,-3
2925466.0,4,1000000000.0,4
2925467.0,-3,-3.0,-3
2925468.0,3,-3.0,-3
2925469.0,-3,-3.0,-3
2925470.0,-3,-3.0,-3
2925471.0,-3,-3.0,-3
2925472.0,6,307403141.0,125
2925473.0,3,-3.0,-3
2925474.0,-3,-3.0,-3
2925475.0,-3,-3.0,-3
2925476.0,6,307403141.0,125
2925477.0,3,-3.0,-3
2925478.0,6,307403141.0,125
2925479.0,3,-3.0,-3
2925480.0,3,-3.0,-3
2925481.0,-3,-3.0,-3
2925482.0,3,-3.0,-3
2925483.0,-3,-3.0,-3
2925484.0,2,-3.0,187
2925485.0,2,-3.0,187
2925486.0,2,3767550595.0,369
2925487.0,-3,-3.0,-3
2925488.0,-3,-3.0,-3
2925489.0,-3,-3.0,-3
2925490.0,2,3767550595.0,369
2925491.0,-3,-3.0,-3
2925492.0,1,1374999700.0,156
2925493.0,2,3767550595.0,369
2925494.0,-3,-3.0,-3
2925495.0,13,431182433.0,299
2925496.0,-3,-3.0,-3
2925497.0,2,3767550595.0,369
2925498.0,1,1374999700.0,156
2925499.0,-3,-3.0,-3
2925500.0,13,431182433.0,299
2925501.0,-3,-3.0,-3
2925502.0,-3,-3.0,-3
2925503.0,13,431182433.0,299
2925504.0,1,1374999700.0,156
2925505.0,-3,-3.0,-3
2925506.0,13,431182433.0,299
2925507.0,1,1374999700.0,156
2925508.0,4,7045370606.0,553
2925509.0,4,7045370606.0,553
2925510.0,5,3692414810.0,106
2925511.0,-3,-3.0,-3
2925512.0,-3,-3.0,-3
2925513.0,5,3692414810.0,106
2925514.0,2,41667400.0,680
2925515.0,150,4348396530.0,159
2925516.0,2,41667400.0,680
2925517.0,-3,-3.0,-3
2925518.0,-3,-3.0,-3
2925519.0,-3,-3.0,-3
2925520.0,1,-3.0,1356
2925521.0,4,7045370606.0,553
2925522.0,1,-3.0,1356
2925523.0,10,-3.0,-3
2925524.0,4,7045370606.0,553
2925525.0,-3,-3.0,-3
2925526.0,150,4348396530.0,159
2925527.0,10,-3.0,-3
2925528.0,-3,-3.0,-3
2925529.0,-3,-3.0,-3
2925530.0,10,-3.0,-3
2925531.0,-3,-3.0,-3
2925532.0,4,1000000000.0,4
2925533.0,-3,-3.0,-3
2925534.0,10,-3.0,-3
2925535.0,4,1000000000.0,4
2925536.0,-3,-3.0,-3
2925537.0,-3,-3.0,-3
2925538.0,9,136001300.0,29
2925539.0,-3,-3.0,-3
2925540.0,9,136001300.0,29
2925541.0,-3,-3.0,-3
2925542.0,9,136001300.0,29
2925543.0,9,136001300.0,29
2925544.0,-3,-3.0,-3
2925545.0,5,1008000000.0,113
2925546.0,-3,-3.0,-3
2925547.0,-3,-3.0,-3
2925548.0,5,1008000000.0,113
2925549.0,-3,-3.0,-3
2925550.0,5,1008000000.0,113
2925551.0,1,-3.0,309
2925552.0,5,1008000000.0,113
2925553.0,1,-3.0,309
2925554.0,-3,-3.0,-3
2925555.0,-3,-3.0,-3
2925556.0,-3,-3.0,2497
2925557.0,-3,-3.0,-3
2925558.0,3,-3.0,-3
2925559.0,-3,-3.0,-3
2925560.0,-3,-3.0,2497
2925561.0,-3,-3.0,-3
2925562.0,3,-3.0,-3
2925563.0,-3,-3.0,-3
2925564.0,3,-3.0,-3
2925565.0,-3,-3.0,2497
2925566.0,3,-3.0,-3
2925567.0,-3,-3.0,2497
2925568.0,-3,-3.0,-3
2925569.0,-3,-3.0,-3
2925570.0,7,3225259367.0,173
2925571.0,7,3225259367.0,173
2925572.0,2,364000000.0,34
2925573.0,-3,-3.0,-3
2925574.0,-3,-3.0,-3
2925575.0,2,364000000.0,34
2925576.0,-3,-3.0,-3
2925577.0,2,364000000.0,34
2925578.0,2,364000000.0,34
2925579.0,-3,-3.0,-3
2925580.0,-3,-3.0,-3
2925581.0,-3,-3.0,-3
2925582.0,12,11528774954.0,309
2925583.0,7,-3.0,71
2925584.0,-3,-3.0,-3
2925585.0,12,11528774954.0,309
2925586.0,7,-3.0,71
2925587.0,150,4348396530.0,159
2925588.0,2,-3.0,934
2925589.0,-3,-3.0,-3
2925590.0,2,-3.0,934
2925591.0,-3,-3.0,-3
2925592.0,-3,-3.0,-3
2925593.0,2,-3.0,934
2925594.0,-3,-3.0,-3
2925595.0,2,-3.0,934
2925596.0,-3,-3.0,-3
2925597.0,-3,456374022.0,186
2925598.0,-3,-3.0,-3
2925599.0,-3,-3.0,-3
2925600.0,-3,456374022.0,186
2925601.0,-3,-3.0,-3
2925602.0,150,4348396530.0,159
2925603.0,-3,456374022.0,186
2925604.0,-3,-3.0,-3
2925605.0,5,11013249426.0,54
2925606.0,-3,456374022.0,186
2925607.0,5,11013249426.0,54
2925608.0,-3,-3.0,-3
2925609.0,-3,-3.0,-3
2925610.0,-3,-3.0,-3
2925611.0,-3,-3.0,-3
2925612.0,-3,-3.0,-3
2925613.0,-3,-3.0,-3
2925614.0,-3,-3.0,-3
2925615.0,2,-3.0,-3
2925616.0,-3,-3.0,-3
2925617.0,2,-3.0,-3
2925618.0,-3,-3.0,-3
2925619.0,2,-3.0,-3
2925620.0,2,-3.0,-3
2925621.0,-3,-3.0,-3
2925622.0,-3,-3.0,-3
2925623.0,4,-3.0,-3
2925624.0,-3,-3.0,-3
2925625.0,4,-3.0,-3
2925626.0,-3,-3.0,-3
2925627.0,4,333333500.0,236
2925628.0,4,-3.0,-3
2925629.0,4,333333500.0,236
2925630.0,4,-3.0,-3
2925631.0,-3,-3.0,-3
2925632.0,1,-3.0,-3
2925633.0,-3,-3.0,-3
2925634.0,1,-3.0,-3
2925635.0,-3,-3.0,-3
2925636.0,1,-3.0,-3
2925637.0,-3,-3.0,-3
2925638.0,-3,-3.0,-3
2925639.0,1,-3.0,-3
2925640.0,13,-3.0,13
2925641.0,-3,-3.0,-3
2925642.0,-3,-3.0,-3
2925643.0,1,591134623.0,177
2925644.0,13,-3.0,13
2925645.0,-3,-3.0,-3
2925646.0,-3,-3.0,-3
2925647.0,1,591134623.0,177
2925648.0,-3,-3.0,-3
2925649.0,-3,-3.0,-3
2925650.0,2,3369374993.0,50
2925651.0,13,-3.0,13
2925652.0,-3,-3.0,-3
2925653.0,1,591134623.0,177
2925654.0,2,3369374993.0,50
2925655.0,13,-3.0,13
2925656.0,-3,-3.0,-3
2925657.0,1,591134623.0,177
2925658.0,-3,-3.0,-3
2925659.0,2,3369374993.0,50
2925660.0,2,3369374993.0,50
2925661.0,13,1947640089.0,15
2925662.0,13,1947640089.0,15
2925663.0,-3,-3.0,-3
2925664.0,10,-3.0,4
2925665.0,-3,-3.0,-3
2925666.0,7,-3.0,370
2925667.0,-3,-3.0,-3
2925668.0,10,-3.0,4
2925669.0,-3,-3.0,-3
2925670.0,7,-3.0,370
2925671.0,-3,-3.0,-3
2925672.0,10,-3.0,4
2925673.0,7,-3.0,370
2925674.0,-3,-3.0,-3
2925675.0,10,-3.0,4
2925676.0,7,-3.0,370
2925677.0,-3,-3.0,-3
2925678.0,-3,-3.0,-3
2925679.0,2,-3.0,934
2925680.0,2,-3.0,934
2925681.0,-3,-3.0,-3
2925682.0,-3,-3.0,-3
2925683.0,-3,-3.0,-3
2925684.0,1,591134623.0,177
2925685.0,-3,-3.0,-3
2925686.0,1,591134623.0,177
2925687.0,7,-3.0,82
2925688.0,-3,-3.0,-3
2925689.0,-3,-3.0,-3
2925690.0,-3,-3.0,-3
2925691.0,-3,-3.0,-3
2925692.0,7,-3.0,82
2925693.0,-3,-3.0,-3
2925694.0,-3,-3.0,-3
2925695.0,-3,-3.0,-3
2925696.0,7,-3.0,82
2925697.0,-3,-3.0,-3
2925698.0,-3,-3.0,-3
2925699.0,7,-3.0,82
2925700.0,-3,-3.0,-3
2925701.0,-3,-3.0,-3
2925702.0,-3,-3.0,-3
2925703.0,-3,-3.0,-3
2925704.0,-3,-3.0,357
